가구원수,가구형태,주거점유형태,주거면적,부채규모,수급여부,총소득,인당_주거면적,소득_대비_부채비율,면적당_소득
3.0,5.0,1.0,33.0,3100.0,0,6505.0,11.0,0.4764832462342453,191.3235294117647
2.0,5.0,1.0,53.0,26660.0,0,3450.0,26.5,7.725297015357867,63.888888888888886
4.0,5.0,2.0,59.0,0.0,0,7823.0,14.75,0.0,130.38333333333333
1.0,1.0,3.0,26.0,0.0,1,0.0,26.0,0.0,0.0
4.0,5.0,2.0,43.0,30112.0,0,9335.0,10.75,3.2253641816623824,212.1590909090909
3.0,5.0,1.0,69.0,9060.0,0,8925.0,23.0,1.0150123235491821,127.5
1.0,1.0,3.0,36.0,0.0,1,0.0,36.0,0.0,0.0
1.0,1.0,2.0,79.0,0.0,0,290.0,79.0,0.0,3.625
1.0,1.0,1.0,69.0,23000.0,0,120.0,69.0,190.08264462809916,1.7142857142857142
4.0,5.0,1.0,106.0,4000.0,0,8758.0,26.5,0.4566731362027629,81.85046728971963
2.0,5.0,2.0,125.0,18400.0,0,14700.0,62.5,1.251615536358071,116.66666666666667
1.0,1.0,3.0,53.0,1800.0,1,0.0,53.0,1800.0,0.0
1.0,1.0,3.0,7.0,0.0,1,0.0,7.0,0.0,0.0
1.0,1.0,2.0,33.0,0.0,1,319.0,33.0,0.0,9.382352941176471
1.0,1.0,3.0,89.0,50000.0,0,1485.0,89.0,33.64737550471063,16.5
4.0,5.0,1.0,112.0,57000.0,0,8462.0,28.0,6.73520028358738,74.88495575221239
2.0,5.0,1.0,79.0,13450.0,0,1900.0,39.5,7.075223566543924,23.75
2.0,5.0,1.0,89.0,4111.0,0,2648.0,44.5,1.5519063797659494,29.42222222222222
4.0,5.0,2.0,59.0,2000.0,0,11808.0,14.75,0.1693623507494284,196.8
2.0,5.0,1.0,66.0,4700.0,0,1756.0,33.0,2.6750142287990895,26.208955223880597
3.0,5.0,1.0,139.0,11400.0,0,14350.0,46.333333333333336,0.794369730332381,102.5
1.0,1.0,5.0,76.0,0.0,1,0.0,76.0,0.0,0.0
3.0,5.0,1.0,79.0,0.0,1,0.0,26.333333333333332,0.0,0.0
4.0,5.0,2.0,89.0,1000.0,0,10295.0,22.25,0.09712509712509712,114.38888888888889
3.0,5.0,2.0,116.0,8500.0,0,12200.0,38.666666666666664,0.6966642078518154,104.27350427350427
3.0,5.0,1.0,66.0,18243.0,0,15318.0,22.0,1.1908740779424245,228.62686567164178
2.0,5.0,1.0,106.0,0.0,0,8388.0,53.0,0.0,78.39252336448598
2.0,5.0,1.0,26.0,47100.0,0,984.0,13.0,47.81725888324873,36.44444444444444
3.0,5.0,3.0,82.0,9900.0,0,12800.0,27.333333333333332,0.7733770799156315,154.21686746987953
1.0,1.0,2.0,23.0,2000.0,1,0.0,23.0,2000.0,0.0
1.0,1.0,5.0,23.0,0.0,0,0.0,23.0,0.0,0.0
2.0,5.0,3.0,50.0,600.0,0,2255.0,25.0,0.26595744680851063,44.21568627450981
1.0,1.0,6.0,51.0,0.0,0,7596.0,51.0,0.0,146.07692307692307
5.0,5.0,1.0,82.0,4562.0,0,10800.0,16.4,0.4223682992315526,130.12048192771084
5.0,5.0,2.0,152.0,0.0,0,9675.0,30.4,0.0,63.23529411764706
2.0,5.0,1.0,109.0,0.0,0,2415.0,54.5,0.0,21.954545454545453
2.0,5.0,1.0,50.0,0.0,0,922.0,25.0,0.0,18.07843137254902
2.0,5.0,1.0,76.0,0.0,0,658.0,38.0,0.0,8.545454545454545
1.0,1.0,1.0,76.0,0.0,0,0.0,76.0,0.0,0.0
1.0,1.0,2.0,26.0,0.0,1,0.0,26.0,0.0,0.0
1.0,1.0,3.0,40.0,1300.0,1,0.0,40.0,1300.0,0.0
1.0,1.0,3.0,63.0,0.0,1,0.0,63.0,0.0,0.0
2.0,5.0,1.0,53.0,1000.0,0,360.0,26.5,2.770083102493075,6.666666666666667
1.0,1.0,2.0,33.0,0.0,1,145.0,33.0,0.0,4.264705882352941
1.0,1.0,2.0,23.0,0.0,0,3108.0,23.0,0.0,129.5
2.0,5.0,1.0,46.0,3400.0,0,2080.0,23.0,1.6338298894762133,44.255319148936174
1.0,1.0,3.0,26.0,0.0,0,820.0,26.0,0.0,30.37037037037037
3.0,5.0,1.0,99.0,20000.0,0,17215.0,33.0,1.161710037174721,172.15
2.0,5.0,1.0,59.0,15000.0,0,0.0,29.5,15000.0,0.0
2.0,5.0,2.0,30.0,0.0,1,600.0,15.0,0.0,19.35483870967742
1.0,1.0,4.0,20.0,0.0,1,660.0,20.0,0.0,31.428571428571427
1.0,1.0,3.0,46.0,1000.0,1,0.0,46.0,1000.0,0.0
3.0,5.0,2.0,79.0,33000.0,0,11470.0,26.333333333333332,2.8768198064684856,143.375
4.0,5.0,1.0,129.0,8482.0,0,5371.0,32.25,1.578927773641102,41.315384615384616
5.0,5.0,1.0,99.0,5910.0,0,12028.0,19.8,0.49131266106908306,120.28
3.0,5.0,1.0,79.0,41000.0,0,9242.0,26.333333333333332,4.435789245915828,115.525
4.0,5.0,1.0,106.0,0.0,0,14550.0,26.5,0.0,135.98130841121494
3.0,5.0,1.0,82.0,0.0,0,7270.0,27.333333333333332,0.0,87.59036144578313
1.0,1.0,2.0,26.0,0.0,0,2050.0,26.0,0.0,75.92592592592592
2.0,5.0,2.0,96.0,2000.0,0,1200.0,48.0,1.665278934221482,12.371134020618557
2.0,5.0,1.0,109.0,0.0,0,610.0,54.5,0.0,5.545454545454546
2.0,5.0,1.0,56.0,0.0,0,100.0,28.0,0.0,1.7543859649122806
1.0,1.0,3.0,56.0,900.0,1,1273.0,56.0,0.706436420722135,22.333333333333332
2.0,5.0,1.0,82.0,52860.0,0,11464.0,41.0,4.6105538595726125,138.12048192771084
1.0,1.0,3.0,50.0,12330.0,0,2417.0,50.0,5.099255583126551,47.3921568627451
2.0,5.0,3.0,46.0,0.0,0,1880.0,23.0,0.0,40.0
3.0,5.0,2.0,76.0,9600.0,0,6720.0,25.333333333333332,1.428358875167386,87.27272727272727
2.0,5.0,1.0,109.0,20800.0,0,3640.0,54.5,5.7127162867344135,33.09090909090909
